,Title,Platform,others,joy,sadness,anger,surprise,disgust,fear
48,Gears of War 2,Xbox360,0.5701563511490045,0.1696172223044933,0.008758758199595176,0.02085809201058245,0.01651420223580702,0.21202555318432995,0.002069821430008443
49,God of War,PlayStation2,0.46139540894604897,0.41991281807321407,0.0018672428106503948,0.009030299588946737,0.019917062502455563,0.08184884128580877,0.006028333412857836
50,God of War,PlayStation4,0.39555287564131664,0.5037994219987283,0.006835519809729978,0.008674311656526377,0.016741181371724874,0.06313765912063783,0.0052590307193580675
51,God of War II,PlayStation2,0.46673822042066604,0.4182711832301201,0.001559851698922441,0.009648695095945266,0.028644916935653346,0.07320475467661573,0.0019323804278558142
52,God of War III,PlayStation3,0.5299066118269535,0.36988455627480576,0.006207082686221607,0.009935648439025804,0.015764525967208082,0.06645746956065379,0.0018441041899939232
53,GoldenEye 007,Nintendo64,0.48845176860534895,0.41328068361229575,0.0023968051435076174,0.01596099968446647,0.012611496460158326,0.06548110550938868,0.0018171452684327433
54,GoldenEye 007,Wii,0.6014152659516466,0.2625170368635633,0.015838260862412218,0.009544639875226888,0.021798668996575184,0.08704682411199668,0.0018393031410006747
55,Gran Turismo,PlayStation,0.2449263300513848,0.7166322260163724,0.0018066490665659687,0.0018443987210047875,0.031479331220907576,0.0016653880993544186,0.0016456650046165562
56,Gran Turismo 2,PlayStation,0.36344250325113536,0.6029176372662186,0.001436995037365652,0.002170175365172268,0.014731508512049872,0.01353953319136049,0.001761649386025916
57,Gran Turismo 3: A-Spec,PlayStation2,0.48138607791706656,0.4197223618495883,0.00994633364168465,0.002638837933262533,0.017806738760044526,0.06642949764194012,0.002070152414186497
58,Grand Theft Auto Double Pack,Xbox,0.5350099883448237,0.25464158375801227,0.0015878294152804255,0.03289943252457301,0.007224007936504932,0.1587044145413435,0.009932765029728936
59,Grand Theft Auto III,PC,0.536305774947707,0.2922478791655855,0.0021171105794385086,0.03174304218165913,0.00645730322272787,0.12892202938690409,0.0022068512806353506
60,Grand Theft Auto III,PlayStation2,0.44196654497230414,0.38477259847781503,0.005956405619768146,0.033567799870394766,0.006880978836148859,0.12485023459338714,0.002005440642359778
61,Grand Theft Auto IV,PC,0.5778947380889579,0.11184905874547937,0.01140805009884832,0.03205799752855951,0.004769588239317194,0.2593209313944895,0.002699639760826436
62,Grand Theft Auto IV,PlayStation3,0.5055532177069167,0.2449518855073929,0.009526287384297914,0.01679818358477818,0.014354627657456744,0.20673607397851446,0.0020797291213644465
63,Grand Theft Auto IV,Xbox360,0.4954275640146752,0.2828244655288166,0.004558830202064286,0.012683688462818777,0.018032337812864743,0.18441857327871652,0.002054536702603302
64,Grand Theft Auto V,PC,0.48811909791329744,0.23568197291633153,0.007237626253286034,0.05949320716521729,0.014444664901993231,0.19268896131743912,0.002334468329066412
65,Grand Theft Auto V,PlayStation3,0.551020061514753,0.29584938420229534,0.003222909320126111,0.007971978728026753,0.014586798730136574,0.1253637744091911,0.0019850936309643036
66,Grand Theft Auto V,PlayStation4,0.5264527787560108,0.28636323504387146,0.0030617333353324845,0.011218307689536779,0.017379018527771524,0.14892280142260028,0.006602126866249852
67,Grand Theft Auto V,Xbox360,0.5070874248515034,0.3211070964884148,0.006341277204569254,0.021231128647787527,0.011096360507749106,0.12778938076259255,0.005347334522582981
68,Grand Theft Auto V,XboxOne,0.510848830189041,0.36452072036757355,0.0015863514064273106,0.00710561101909767,0.02126208476994818,0.09279784703214565,0.0018785675089404495
69,Grand Theft Auto: Chinatown Wars,DS,0.5617492651490836,0.3475012753410645,0.0014278204607947817,0.020733744623519578,0.00421162025423297,0.06256654449472465,0.0018097306292845716
70,Grand Theft Auto: Chinatown Wars,PSP,0.4423305169822505,0.32191832463677894,0.0017258826835761078,0.04297501366594444,0.005555529277234358,0.18367435403678634,0.0018203759525651385
71,Grand Theft Auto: San Andreas,PC,0.5039142022820334,0.3044783911889292,0.0018761781320083834,0.01915409589057458,0.005746828828987992,0.16264481230941824,0.0021854880315621884
72,Grand Theft Auto: San Andreas,PlayStation2,0.4348141641209855,0.41130986322099233,0.006839539275401723,0.022324035496201836,0.01985830144799678,0.1027779239828178,0.002076172541832329
73,Grand Theft Auto: San Andreas,Xbox,0.5008382213501525,0.3981381023602028,0.0027441373469107963,0.002401654298799732,0.011552241161033181,0.0823083018767647,0.0020173277527126645
74,Grand Theft Auto: Vice City,PC,0.5585650028229726,0.38780773443997735,0.0015124651938633231,0.0024345992553409545,0.01845961965456669,0.0294140067794446,0.0018065748666197038
75,Grand Theft Auto: Vice City,PlayStation2,0.4909013575155685,0.35108179929057554,0.001712740925619291,0.015005682498455322,0.02043365851324756,0.11893785023721413,0.0019269004475376858
76,Grim Fandango,PC,0.3223422415201853,0.5839219477407717,0.07410493185949124,0.0016554053958422734,0.005628830857698148,0.010769044759559998,0.001577585781513503
